"","x"
"s0",0
"s1",1
"s2",1
"s3",1
"s4",2
"s5",3
"s6",6
"s7",7
"s8",7
"s9",7
"s10",7
"s11",8
"s12",8
"s13",9
"s14",9
"s15",10
"s16",12
"s17",12
"s18",14
"s19",16
"s20",17
"s21",23
"s22",26
"s23",30
"s24",33
"s25",39
"s26",45
"s27",46
"s28",48
"s29",51
"s30",57
"s31",62
"s32",66
"s33",69
"s34",75
"s35",77
"s36",80
"s37",82
"s38",88
"s39",94
"s40",93
"s41",101
"s42",106
"s43",114
"s44",119
"s45",120
"s46",122
"s47",123
"s48",122
"s49",125
"s50",126
"s51",128
"s52",132
"s53",130
"s54",134
"s55",140
"s56",144
"s57",149
"s58",156
"s59",161
"s60",165
"s61",166
"s62",168
"s63",174
"s64",177
"s65",179
"s66",178
"s67",183
"s68",185
"s69",185
"s70",185
"s71",186
"s72",188
"s73",190
"s74",195
"s75",192
"s76",197
"s77",197
"s78",199
"s79",201
"s80",205
"s81",207
"s82",206
"s83",209
"s84",212
"s85",213
"s86",213
"s87",215
"s88",215
"s89",214
"s90",218
"s91",216
"s92",216
"s93",218
"s94",217
"s95",216
"s96",220
"s97",217
"s98",218
"s99",220
