"","Score"
"ZBTB20",0.000231174279720878
"FOSL2",0.000221185267634174
"GRIN2B",0.000220233933149726
"ABI2",0.000219758265907502
"KCNJ6",0.000218806931423054
"SH3TC2",0.000216904262454158
"AAK1",0.00021595292796971
"PEX26",0.000214050259000813
"AGO3",0.000212147590031917
"CNKSR3",0.000211671922789693
"XKR4",0.000208817919336349
"DNAJC10",0.000207866584851901
"SLC8A1",0.000207866584851901
"FAM83F",0.000205488248640781
"RPAP2",0.000204536914156333
"ZBTB37",0.000204536914156333
"LPP",0.000203585579671885
"NCKAP1",0.000203585579671885
"KSR2",0.000201682910702989
"TSPAN14",0.000200731576218541
"XRCC5",0.000199780241734093
"GAN",0.000199780241734093
"ZDHHC3",0.000199780241734093
"NSL1",0.000199304574491868
"CNNM2",0.000198828907249644
"ZNF704",0.00019835324000742
"AGO2",0.000197877572765196
"ONECUT2",0.000196926238280748
"STX7",0.000196450571038524
"STRN",0.000195023569311852
"PPP1R12B",0.000194547902069628
"TNRC6B",0.000194072234827404
"CRISPLD2",0.00019359656758518
"TAOK1",0.000193120900342956
"ZNF460",0.000193120900342956
"SOD2",0.000192169565858508
"TRIM44",0.000191693898616284
"SUGT1",0.000190742564131836
"AGO1",0.000190266896889612
"RBM28",0.000190266896889612
"MYPN",0.000190266896889612
"PDK1",0.000189791229647388
"FTO",0.000189791229647388
"CLSTN2",0.000189791229647388
"FGFR1OP",0.000189315562405164
"MAPK1",0.000189315562405164
"QKI",0.00018883989516294
"PKIA",0.000188364227920716
"BTD",0.000187888560678492
"LONRF2",0.000187888560678492
"KCNN3",0.000187412893436268
"DYNLL2",0.000187412893436268
"KCTD16",0.000186937226194044
"RIMKLA",0.000186937226194044
"POU2F1",0.00018646155895182
"TTL",0.00018646155895182
"B3GALT5",0.000185985891709596
"NFIB",0.000185510224467372
"KDM5A",0.000185510224467372
"AKR7A2",0.000185510224467372
"ZNF207",0.000185034557225148
"SFT2D2",0.000185034557225148
"CBX5",0.0001840832227407
"HIF1AN",0.0001840832227407
"DGKH",0.000183607555498475
"FRK",0.000183607555498475
"NABP1",0.000183131888256251
"RRAGD",0.000182656221014027
"GABRB1",0.000182656221014027
"LRRC40",0.000182656221014027
"ZBTB8B",0.000182656221014027
"GUCY1A2",0.000182656221014027
"NEGR1",0.000182180553771803
"RAB3B",0.000181704886529579
"CD84",0.000181704886529579
"MED28",0.000181704886529579
"BNC2",0.000181704886529579
"HEYL",0.000181704886529579
"SLFN12L",0.000181229219287355
"HOOK3",0.000180753552045131
"CYP20A1",0.000180753552045131
"ENTPD1",0.000180753552045131
"PDK3",0.000180277884802907
"PLEKHA3",0.000179802217560683
"FBXL20",0.000179802217560683
"ACVR2B",0.000179326550318459
"KCNB1",0.000179326550318459
"ADCYAP1R1",0.000179326550318459
"AJAP1",0.000179326550318459
"SAMD12",0.000178850883076235
"PTCHD1",0.000178375215834011
"PTPRT",0.000178375215834011
"KIAA1958",0.000177899548591787
"CDK6",0.000177899548591787
"DCTN5",0.000177899548591787
"GTDC1",0.000177899548591787
"SHROOM4",0.000177899548591787
"C1orf21",0.000177899548591787
"ZNF652",0.000177423881349563
"TMEM178B",0.000177423881349563
"CLMN",0.000177423881349563
"RNF150",0.000176948214107339
"RASAL2",0.000176948214107339
"MAVS",0.000176948214107339
"DCUN1D5",0.000175996879622891
"YIPF4",0.000175521212380667
"KIAA1715",0.000175521212380667
"PPM1L",0.000175521212380667
"KLF12",0.000175045545138443
"ENPP5",0.000175045545138443
"TLR4",0.000175045545138443
"PAG1",0.000174569877896219
"MBNL3",0.000174094210653995
"FAM179A",0.000174094210653995
