,Score
ZBTB20,0.000235041
ABI2,0.000231023
KCNJ6,0.000229014
FOSL2,0.000223992
AGO3,0.000221983
GRIN2B,0.000221983
FAM83F,0.000220979
SH3TC2,0.000220979
DNAJC10,0.00021897
AAK1,0.00021897
PEX26,0.000215956
TRIM44,0.000213948
XKR4,0.000210934
CNKSR3,0.00020993
SLC8A1,0.000208925
GAN,0.000208925
ZBTB37,0.000206916
RPAP2,0.000205912
TSPAN14,0.000205912
KSR2,0.000205912
MAPK1,0.000204908
ZDHHC3,0.000204908
NCKAP1,0.000203903
AGO2,0.000202899
LPP,0.000202899
ONECUT2,0.000201894
ZNF704,0.000201894
STRN,0.00020089
KCNB1,0.00020089
NSL1,0.000199885
LONRF2,0.000198881
CRISPLD2,0.000198881
TAOK1,0.000197876
SOD2,0.000196872
TNRC6B,0.000196872
PPP1R12B,0.000195867
RIMKLA,0.000195867
CLSTN2,0.000194863
CNNM2,0.000193859
XRCC5,0.000193859
FTO,0.000193859
PTPRT,0.000193859
B3GALT5,0.000192854
QKI,0.000192854
DGKH,0.000192854
AGO1,0.000192854
RAB3B,0.00019185
HIF1AN,0.00019185
NABP1,0.00019185
STX7,0.000190845
DYNLL2,0.000189841
TMEM178B,0.000188836
NFIB,0.000188836
SFT2D2,0.000188836
KCTD16,0.000187832
POU2F1,0.000187832
MYPN,0.000187832
FGFR1OP,0.000186827
BTD,0.000186827
PKIA,0.000186827
ZNF460,0.000186827
GUCY1A2,0.000186827
SHC3,0.000186827
ZNF652,0.000185823
PDK3,0.000185823
FBXL20,0.000185823
GTDC1,0.000185823
KCNN3,0.000184819
SUGT1,0.000184819
PLEKHA3,0.000184819
CD84,0.000184819
CBX5,0.000184819
DCUN1D5,0.000183814
RBM28,0.000183814
RASAL2,0.00018281
ACVR2B,0.000181805
KIAA1958,0.000181805
FAM179A,0.000181805
ZBTB8B,0.000181805
DST,0.000181805
AJAP1,0.000181805
NEGR1,0.000181805
BNC2,0.000180801
PPM1L,0.000180801
KLF12,0.000180801
DLGAP2,0.000179796
MBNL3,0.000179796
PDK1,0.000179796
SLC9A7,0.000179796
LRRC40,0.000179796
ZNF207,0.000179796
ADCYAP1R1,0.000179796
TGFBR2,0.000179796
HOOK3,0.000178792
GABRB1,0.000178792
CACUL1,0.000178792
NCR3LG1,0.000178792
KDM5A,0.000178792
GFRA1,0.000178792
AKR7A2,0.000178792
FOXK1,0.000178792
RRAGD,0.000177787
GPR26,0.000177787
SAMD12,0.000177787
MED28,0.000177787
PAG1,0.000177787
TLR4,0.000177787
PTCHD1,0.000177787
ENAH,0.000177787
MAP7,0.000177787
CCDC80,0.000176783
BRWD1,0.000176783
SLFN12L,0.000176783
PURB,0.000176783
ZNF431,0.000176783
DCTN5,0.000176783
LIPG,0.000176783
FRK,0.000176783
MECP2,0.000176783
CLMN,0.000176783
ABL2,0.000175779
ANKRD33B,0.000175779
CDS2,0.000175779
TTL,0.000175779
GPRIN3,0.000175779
RNF150,0.000175779
CYP20A1,0.000175779
ENPP5,0.000175779
ASXL2,0.000174774
DGKI,0.000174774
UBN2,0.000174774
ENTPD1,0.000174774
HEYL,0.000174774
FMNL3,0.00017377
CAMK4,0.00017377
DBT,0.00017377
DDHD1,0.00017377
SUSD1,0.00017377
SLC24A4,0.00017377
PAX5,0.000172765
DDI2,0.000172765
NAA38,0.000172765
PRLR,0.000172765
CALN1,0.000172765
CACNA1E,0.000172765
FAXC,0.000172765
GRIN2A,0.000172765
MAP2K6,0.000172765
C1orf21,0.000172765
NKD1,0.000171761
PANK3,0.000171761
YIPF4,0.000171761
KIAA1715,0.000171761
ZNF264,0.000171761
SHROOM4,0.000171761
ERC1,0.000171761
TNIK,0.000170756
RAB22A,0.000170756
UBE2W,0.000170756
PLXDC2,0.000170756
SH3PXD2A,0.000170756
MAVS,0.000170756
NAA50,0.000169752
FAM26E,0.000169752
PSD3,0.000169752
NUDT3,0.000169752
IPO9,0.000169752
DCX,0.000169752
CDK6,0.000169752
SMAD2,0.000169752
WNT2B,0.000169752
MRRF,0.000169752
SV2C,0.000169752
COLEC10,0.000169752
FUT9,0.000168747
FER,0.000168747
G3BP1,0.000168747
PLEKHG4B,0.000168747
ZNF641,0.000168747
APOL6,0.000168747
ST8SIA3,0.000168747
CADM1,0.000168747
NT5C1A,0.000168747
STON2,0.000167743
REL,0.000167743
ALG14,0.000167743
PLSCR1,0.000167743
CSRNP3,0.000167743
SLC1A2,0.000167743
TSKU,0.000167743
PPARA,0.000167743
EHD3,0.000167743
FAM227A,0.000166738
TFDP2,0.000166738
PPARGC1B,0.000166738
SESTD1,0.000166738
EIF4E3,0.000166738
MPRIP,0.000166738
CAND1,0.000166738
KAT7,0.000166738
IYD,0.000166738
ORAI2,0.000166738
SESN3,0.000165734
ANKFY1,0.000165734
GAS7,0.000165734
TMEM154,0.000165734
PTBP2,0.000165734
CCDC127,0.000165734
TFCP2L1,0.000165734
OBFC1,0.000165734
DNMT3A,0.000165734
DBNL,0.00016473
TMEM132B,0.00016473
RNF115,0.00016473
PALM2,0.00016473
NFIA,0.00016473
NDUFS1,0.00016473
ARHGAP26,0.00016473
TMEM135,0.000163725
PARVA,0.000163725
TNR,0.000163725
NPFFR1,0.000163725
HSD17B12,0.000163725
LIMD1,0.000163725
WDR37,0.000163725
AFF2,0.000163725
INO80D,0.000163725
SCAI,0.000163725
MAPK14,0.000163725
RBM23,0.000163725
HEBP2,0.000163725
ARL10,0.000163725
FAM168A,0.000163725
KIAA1551,0.000163725
EIF4E,0.000163725
SGCD,0.000162721
INTU,0.000162721
AGAP1,0.000162721
DYRK2,0.000162721
SBNO1,0.000162721
SRSF1,0.000162721
PPIP5K2,0.000162721
C4orf32,0.000162721
KCNQ3,0.000162721
NUDCD3,0.000162721
SLC24A2,0.000162721
SLC44A1,0.000161716
C12orf49,0.000161716
SPRY3,0.000161716
BSND,0.000161716
FMN1,0.000161716
UBE2D3,0.000161716
SKP1,0.000161716
MAP3K9,0.000161716
GNL3L,0.000161716
SIK2,0.000161716
GATA6,0.000161716
GRAP2,0.000161716
PGR,0.000160712
NUFIP2,0.000160712
IKZF3,0.000160712
CACNA1C,0.000160712
AGPAT4,0.000160712
RYBP,0.000159707
PEAK1,0.000159707
ABHD2,0.000159707
RORB,0.000159707
RORA,0.000159707
POLR1A,0.000159707
HDAC2,0.000159707
RAB11FIP4,0.000159707
ITGA1,0.000159707
PTPN4,0.000159707
ZKSCAN1,0.000159707
AMER2,0.000159707
ABCB11,0.000159707
KLHL18,0.000159707
ZNF573,0.000159707
FBXW2,0.000159707
SOGA3,0.000158703
SLC5A3,0.000158703
USP6NL,0.000158703
PIGP,0.000158703
XYLT1,0.000158703
SNX1,0.000158703
TEAD1,0.000158703
GLG1,0.000158703
PRKCA,0.000158703
SLFN12,0.000158703
H6PD,0.000158703
GRIK3,0.000158703
EGFR,0.000158703
TET3,0.000157698
RBMS2,0.000157698
RLIM,0.000157698
MMP16,0.000157698
ZNF70,0.000157698
TRAF1,0.000157698
LRIG2,0.000157698
SLC16A10,0.000157698
PDE12,0.000157698
DNAL1,0.000157698
TTC39B,0.000157698
GLYAT,0.000157698
SNTB2,0.000157698
CMTM4,0.000157698
AP5M1,0.000157698
CENPP,0.000157698
TMEM106B,0.000157698
ZNF618,0.000157698
TMED8,0.000157698
CELF1,0.000156694
PTPN14,0.000156694
SV2B,0.000156694
ATP8A2,0.000156694
TET2,0.000156694
NR2C2,0.000156694
TOR1AIP1,0.000156694
IL6ST,0.000156694
ZBTB25,0.000156694
MTO1,0.000156694
CLCN5,0.000156694
PLXNA4,0.000156694
DR1,0.000156694
CDC73,0.000156694
PEX5L,0.000156694
GABRA4,0.000156694
INPP4A,0.000156694
PRDM6,0.000156694
TANC2,0.000156694
CREB1,0.000156694
PLCL1,0.000156694
RPP14,0.000156694
VPS53,0.000156694
CRCP,0.000156694
KLF13,0.000156694
PSD4,0.000156694
VANGL1,0.000156694
BMPR2,0.00015569
UBXN7,0.00015569
BMPR1A,0.00015569
IRGQ,0.00015569
TMPPE,0.00015569
TMOD2,0.00015569
C17orf85,0.00015569
PAQR3,0.00015569
LANCL3,0.00015569
C12orf5,0.00015569
SPTLC2,0.00015569
FZD3,0.000154685
PDE3A,0.000154685
ELK4,0.000154685
NFASC,0.000154685
RAB3C,0.000154685
RNF152,0.000154685
PHC3,0.000154685
ZNF417,0.000154685
RAB3IP,0.000154685
ABHD15,0.000154685
ZNF736,0.000153681
ZNF621,0.000153681
ZBTB16,0.000153681
PLEKHO1,0.000153681
MDM4,0.000153681
ZNF451,0.000153681
TSC22D2,0.000153681
FOXP1,0.000153681
ZNF562,0.000153681
SLC33A1,0.000153681
METTL8,0.000153681
TBC1D16,0.000153681
FAM63B,0.000152676
USP46,0.000152676
NFIC,0.000152676
PLEKHA8,0.000152676
CBL,0.000152676
USP49,0.000152676
WDFY2,0.000152676
RAD51L3-RFFL,0.000152676
RFFL,0.000152676
CLVS2,0.000152676
OTUD7B,0.000152676
LDLRAD4,0.000152676
VAPB,0.000152676
ADARB2,0.000152676
SCO1,0.000152676
LYRM4,0.000152676
TG,0.000152676
CRP,0.000152676
HCFC2,0.000151672
SLC16A7,0.000151672
BTBD9,0.000151672
ZNF708,0.000151672
HCN1,0.000151672
LCOR,0.000151672
ADAMTS5,0.000151672
HELZ,0.000151672
CD59,0.000151672
PAK3,0.000151672
UNC5C,0.000151672
PLEKHM3,0.000151672
SLC35F6,0.000151672
ENDOD1,0.000151672
QSOX1,0.000151672
BCAT1,0.000150667
PTAR1,0.000150667
ZNF326,0.000150667
NAV1,0.000150667
SP3,0.000150667
WIPF2,0.000150667
DDR2,0.000150667
CD55,0.000150667
AKAP6,0.000150667
IGF2BP1,0.000150667
MAP3K2,0.000150667
PLD5,0.000150667
RNF217,0.000150667
LPHN3,0.000150667
CSNK1G1,0.000150667
SSR1,0.000150667
BTLA,0.000150667
ATXN1,0.000150667
TSHZ2,0.000150667
GTF3C4,0.000150667
ARHGAP29,0.000150667
LRRC27,0.000150667
C2orf72,0.000150667
IBA57,0.000150667
KPNA6,0.000150667
RGP1,0.000150667
IGF1R,0.000149663
EIF4EBP2,0.000149663
DOK6,0.000149663
RAB30,0.000149663
CREB3L2,0.000149663
CRTAP,0.000149663
NHLRC2,0.000149663
CLOCK,0.000149663
MKLN1,0.000149663
TRAF3,0.000149663
SOX11,0.000149663
ZFYVE20,0.000149663
MRPL3,0.000149663
TRABD2B,0.000149663
SEMA5A,0.000149663
TMEM127,0.000149663
KIAA1549L,0.000149663
SRRM4,0.000149663
CACNG8,0.000148658
ARHGAP19-SLIT1,0.000148658
SOCS5,0.000148658
PIK3C3,0.000148658
NFAT5,0.000148658
GPR180,0.000148658
COPS8,0.000148658
ZHX3,0.000148658
SERINC1,0.000148658
SLFN5,0.000148658
SHISA6,0.000148658
KIF26B,0.000148658
ZNF445,0.000148658
MTMR3,0.000147654
MLEC,0.000147654
OPA3,0.000147654
GATAD2B,0.000147654
RAP2B,0.000147654
CECR2,0.000147654
PHACTR2,0.000147654
RIMS3,0.000147654
ADRBK2,0.000147654
SLC38A1,0.000147654
DNAJB4,0.000147654
P2RY2,0.000147654
ELOVL6,0.000147654
FAM229B,0.000147654
ACOT2,0.000147654
ZADH2,0.000147654
GATSL2,0.000147654
SYNPO2,0.000147654
GSTO2,0.000147654
DLGAP3,0.000147654
CREB5,0.000147654
TNFRSF13C,0.000147654
CDYL2,0.00014665
VWC2,0.00014665
SNX29,0.00014665
SF3B3,0.00014665
SOCS7,0.00014665
KIAA1456,0.00014665
CTNNA3,0.00014665
KIAA1614,0.00014665
KCNK5,0.00014665
ILDR2,0.00014665
GOLGA7B,0.00014665
KIAA1644,0.00014665
C11orf54,0.000145645
OPCML,0.000145645
SRGAP1,0.000145645
MCTS1,0.000145645
STX17,0.000145645
FZD4,0.000145645
PLXNA2,0.000145645
NOS1,0.000145645
CLPB,0.000145645
