"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"TXNDC5","TXNDC5",NA,NA,NA,NA,0.00147423580383044,0.0296645610724524
"PPDPF","PPDPF",NA,NA,NA,NA,0.00334970923390676,0.049806428381778
"PIGR","PIGR",NA,NA,NA,NA,4.26214685766979e-08,1.20831863414939e-05
"CAPZA1","CAPZA1",NA,NA,NA,NA,0.000233152030811867,0.00905460284043348
"UQCR10","UQCR10",NA,NA,NA,NA,0.00199332094744054,0.0357662334556577
"MTR","MTR",NA,NA,NA,NA,0.00165260691353597,0.032042999684098
"RPL35","RPL35",NA,NA,NA,NA,3.01856693392111e-05,0.00213940931441658
"S100A10","S100A10",NA,NA,NA,NA,6.5993293278277e-05,0.00355236050209966
"DAB2","DAB2",NA,NA,NA,NA,6.72021578295157e-05,0.00359468146125805
"NDUFB1","NDUFB1",NA,NA,NA,NA,0.000983506508396959,0.0231709774346707
"LPGAT1","LPGAT1",NA,NA,NA,NA,1.04909109510665e-07,2.54929136110915e-05
"HSPB1","HSPB1",NA,NA,NA,NA,0.00190337168196097,0.0346899517434663
"DDX18","DDX18",NA,NA,NA,NA,4.32557552620949e-06,0.000497148916897456
"RPL13AP5","RPL13AP5",NA,NA,NA,NA,0.00219284249233043,0.0379839621125668
"INADL","INADL",NA,NA,NA,NA,0.0012264035222489,0.0260818975555432
"RP11-473I1.9","RP11-473I1.9",NA,NA,NA,NA,0.00116755655970424,0.0254617142058579
"SAP30BP","SAP30BP",NA,NA,NA,NA,0.00124890513050468,0.0263764572943817
"CCNE2","CCNE2",NA,NA,NA,NA,0.000274489638672493,0.0102842924092932
"PTMA","PTMA",NA,NA,NA,NA,7.9826667498395e-10,4.52617204715899e-07
"RPL12","RPL12",NA,NA,NA,NA,0.00146178124167939,0.0296010701440077
"HMGN1","HMGN1",NA,NA,NA,NA,0.000159255618620957,0.00694599505831405
"TP53BP1","TP53BP1",NA,NA,NA,NA,0.00301094453197692,0.0474223763786365
"TNFAIP3","TNFAIP3",NA,NA,NA,NA,0.00274265457004041,0.0446009122718809
"IFI27","IFI27",NA,NA,NA,NA,0.00036968778905988,0.0126272877347562
"DNAJC10","DNAJC10",NA,NA,NA,NA,0.000213266934010026,0.00851565856223131
"HMGB1P5","HMGB1P5",NA,NA,NA,NA,1.83927762908986e-07,3.63792005474635e-05
"CCT3","CCT3",NA,NA,NA,NA,0.000224651294034595,0.00884564470261216
"MPC2","MPC2",NA,NA,NA,NA,0.00281859440875631,0.0455744210008982
"JUND","JUND",NA,NA,NA,NA,0.000353384802727841,0.0122176331187003
"RPS10","RPS10",NA,NA,NA,NA,1.33610538702866e-05,0.00120889109751902
"CCNJ","CCNJ",NA,NA,NA,NA,0.000377063393146471,0.0127258895186934
"RP4-635E18.8","RP4-635E18.8",NA,NA,NA,NA,0.00247678924895323,0.0415485060401325
"HNRNPU","HNRNPU",NA,NA,NA,NA,0.000754563725794299,0.0195312230045355
"MRPS17","MRPS17",NA,NA,NA,NA,2.01057358267809e-05,0.00159812414211936
"DCAF5","DCAF5",NA,NA,NA,NA,0.000340595846490821,0.0119208546271787
"SFXN1","SFXN1",NA,NA,NA,NA,0.000877862759851022,0.0212712899502363
"IL32","IL32",NA,NA,NA,NA,0.00251520210194267,0.0421098304665796
"MT-ND1","MT-ND1",NA,NA,NA,NA,3.27724870907709e-05,0.00224782260247586
"NAP1L1","NAP1L1",NA,NA,NA,NA,7.25847788984879e-07,0.000112242462642116
"RPL36A","RPL36A",NA,NA,NA,NA,0.000755482088823811,0.0195312230045355
"EIF4G1","EIF4G1",NA,NA,NA,NA,0.00142034671385705,0.0291085513285643
"MOB4","MOB4",NA,NA,NA,NA,0.00278322123372221,0.0451742301389454
"EPPK1","EPPK1",NA,NA,NA,NA,0.00147058748849593,0.0296645610724524
"FXYD3","FXYD3",NA,NA,NA,NA,1.11841647054689e-11,1.05690356466681e-08
"PLAA","PLAA",NA,NA,NA,NA,2.26387633791569e-05,0.0017094438991973
"RPS6","RPS6",NA,NA,NA,NA,0.000589409605701974,0.0168785477996474
"ANKRD10","ANKRD10",NA,NA,NA,NA,9.95383817592455e-08,2.48992334371289e-05
"SOD2","SOD2",NA,NA,NA,NA,0.000227920588845132,0.00893301662731727
"SEC61G","SEC61G",NA,NA,NA,NA,0.00155796742374092,0.0311044904669403
"NBPF12","NBPF12",NA,NA,NA,NA,0.000641792198687097,0.0178380478752737
"LYRM4","LYRM4",NA,NA,NA,NA,0.000387311763009435,0.0129086025086295
"RP11-26H16.1","RP11-26H16.1",NA,NA,NA,NA,0.00104270251276828,0.0239680672191735
"MT1E","MT1E",NA,NA,NA,NA,0.000784004934410554,0.0198498318141056
"RP11-544A12.8","RP11-544A12.8",NA,NA,NA,NA,0.000222743706511874,0.00881931543454293
"RPL28","RPL28",NA,NA,NA,NA,7.71942187197672e-05,0.00402783331418172
"ESD","ESD",NA,NA,NA,NA,0.00171095635109431,0.0325541023849151
"RPS7","RPS7",NA,NA,NA,NA,0.000107757502471273,0.00529755814172356
"HNRNPA1","HNRNPA1",NA,NA,NA,NA,2.93274371121477e-07,5.19645526330867e-05
"EIF5B","EIF5B",NA,NA,NA,NA,4.23994903299141e-05,0.00257576903754228
"CCDC174","CCDC174",NA,NA,NA,NA,0.000787884868362565,0.0198841566926517
