"","Sample","Status","Title","Platform","EGAS ID","ERP ID","ERS ID"
"1","GSM2180156","Private","RHC3546","GPL11154","EGAS00001001945","ERP016958","ERS1311725"
"2","GSM2180157","Private","RHC3552","GPL11154","EGAS00001001945","ERP016958","ERS1311731"
"3","GSM2180158","Private","RHC3553","GPL11154","EGAS00001001945","ERP016958","ERS1311732"
"4","GSM2180159","Private","RHC3555","GPL11154","EGAS00001001945","ERP016958","ERS1311734"
"5","GSM2180160","Private","RHC3556","GPL11154","EGAS00001001945","ERP016958","ERS1311735"
"6","GSM2180161","Private","RHC3557","GPL11154","EGAS00001001945","ERP016958","ERS1311736"
"7","GSM2180162","Private","RHC3562","GPL11154","EGAS00001001945","ERP016958","ERS1311741"
"8","GSM2180163","Private","RHC3563","GPL11154","EGAS00001001945","ERP016958","ERS1311742"
"9","GSM2180164","Private","RHC3565","GPL11154","EGAS00001001945","ERP016958","ERS1311744"
"10","GSM2180165","Private","RHC3567","GPL11154","EGAS00001001945","ERP016958","ERS1311746"
"11","GSM2180166","Private","RHC3568","GPL11154","EGAS00001001945","ERP016958","ERS1311747"
"12","GSM2180167","Private","RHC3569","GPL11154","EGAS00001001945","ERP016958","ERS1311748"
"13","GSM2180168","Private","RHC3570","GPL11154","EGAS00001001945","ERP016958","ERS1311749"
"14","GSM2180169","Private","RHC3577","GPL11154","EGAS00001001945","ERP016958","ERS1311756"
"15","GSM2180170","Private","RHC3579","GPL11154","EGAS00001001945","ERP016958","ERS1311758"
"16","GSM2180171","Private","RHC3581","GPL11154","EGAS00001001945","ERP016958","ERS1311760"
"17","GSM2180172","Private","RHC3582","GPL11154","EGAS00001001945","ERP016958","ERS1311761"
"18","GSM2180173","Private","RHC3584","GPL11154","EGAS00001001945","ERP016958","ERS1311763"
"19","GSM2180174","Private","RHC3585","GPL11154","EGAS00001001945","ERP016958","ERS1311764"
"20","GSM2180175","Private","RHC3589","GPL11154","EGAS00001001945","ERP016958","ERS1311768"
"21","GSM2180176","Private","RHC3590","GPL11154","EGAS00001001945","ERP016958","ERS1311769"
"22","GSM2180177","Private","RHC3591","GPL11154","EGAS00001001945","ERP016958","ERS1311770"
"23","GSM2180178","Private","RHC3593","GPL11154","EGAS00001001945","ERP016958","ERS1311772"
"24","GSM2180179","Private","RHC3594","GPL11154","EGAS00001001945","ERP016958","ERS1311773"
"25","GSM2180180","Private","RHC3596","GPL11154","EGAS00001001945","ERP016958","ERS1311775"
