"","x"
"1",2
"2",6
"3",3
"4",10
"5",9
"6",6
"7",2
"8",3
"9",4
"10",9
"11",7
"12",5
"13",1
"14",3
"15",9
"16",7
"17",2
"18",4
"19",7
"20",9
"21",4
"22",4
"23",10
"24",7
"25",9
"26",6
"27",2
"28",9
"29",10
"30",2
"31",1
"32",2
"33",1
"34",5
"35",8
"36",8
"37",10
"38",2
"39",4
"40",3
"41",5
"42",5
"43",2
"44",7
"45",9
"46",2
"47",6
"48",5
"49",1
"50",1
"51",2
"52",4
"53",8
"54",4
"55",6
"56",9
"57",9
"58",4
"59",9
"60",2
"61",2
"62",1
"63",5
"64",9
"65",7
"66",6
"67",7
"68",10
"69",6
"70",8
"71",1
"72",9
"73",9
"74",7
"75",9
"76",6
"77",8
"78",5
"79",8
"80",5
"81",5
"82",1
"83",6
"84",9
"85",5
"86",5
"87",3
"88",6
"89",6
"90",10
"91",7
"92",8
"93",1
"94",7
"95",7
"96",8
"97",6
"98",10
"99",7
"100",4
"101",8
"102",4
"103",7
"104",6
"105",2
"106",10
"107",6
"108",7
"109",10
"110",9
"111",8
"112",8
"113",3
"114",5
"115",6
"116",1
"117",7
"118",3
"119",9
"120",2
"121",9
"122",6
"123",3
"124",5
"125",8
"126",1
"127",6
"128",3
"129",4
"130",1
"131",10
"132",5
"133",10
"134",9
"135",9
"136",9
"137",2
"138",8
"139",1
"140",6
"141",7
"142",1
"143",6
"144",1
"145",9
"146",2
"147",10
"148",5
"149",7
"150",1
"151",5
"152",10
"153",9
"154",3
"155",1
"156",5
"157",6
"158",7
"159",9
"160",6
"161",5
"162",7
"163",5
"164",6
"165",6
"166",2
"167",7
"168",1
"169",6
"170",6
"171",2
"172",10
"173",6
"174",8
"175",5
"176",10
"177",4
"178",5
"179",9
"180",3
"181",9
"182",5
"183",1
"184",4
"185",2
"186",1
"187",5
"188",1
"189",4
"190",3
"191",10
"192",6
"193",5
"194",9
"195",3
"196",1
"197",3
"198",4
"199",2
"200",4
"201",6
"202",9
"203",9
"204",10
"205",3
"206",6
"207",6
"208",3
"209",3
"210",1
"211",6
"212",2
"213",4
"214",10
"215",1
"216",4
"217",7
"218",10
"219",6
"220",1
"221",7
"222",8
"223",8
"224",5
"225",1
"226",1
"227",2
"228",2
"229",6
"230",4
"231",1
"232",5
"233",3
"234",1
"235",10
"236",10
"237",2
"238",2
"239",1
"240",1
"241",7
"242",10
"243",7
"244",5
"245",3
"246",9
"247",4
"248",3
"249",5
"250",6
"251",9
"252",8
"253",7
"254",5
"255",7
"256",2
"257",4
"258",4
"259",3
"260",1
"261",9
"262",9
"263",9
"264",3
"265",4
"266",8
"267",2
"268",3
"269",4
"270",3
"271",1
"272",3
"273",4
"274",9
"275",1
"276",8
"277",10
"278",2
"279",7
"280",1
"281",5
"282",9
"283",3
"284",6
"285",2
"286",10
"287",1
"288",7
"289",1
"290",1
"291",7
"292",6
"293",2
"294",7
"295",1
"296",7
"297",10
"298",10
"299",1
"300",9
"301",10
"302",10
"303",9
"304",1
"305",10
"306",5
"307",7
"308",4
"309",1
"310",9
"311",9
"312",6
"313",7
"314",8
"315",1
"316",4
"317",4
"318",10
"319",2
"320",8
"321",1
"322",2
"323",7
"324",2
"325",2
"326",8
"327",6
"328",2
"329",1
"330",1
"331",3
"332",4
"333",1
"334",2
"335",2
"336",4
"337",6
"338",4
"339",10
"340",8
"341",4
"342",9
"343",5
"344",5
"345",2
"346",4
"347",8
"348",10
"349",6
"350",6
"351",7
"352",3
"353",7
"354",7
"355",2
"356",3
"357",1
"358",8
"359",7
"360",5
"361",7
"362",2
"363",7
"364",7
"365",10
"366",6
"367",9
"368",5
"369",1
"370",5
"371",6
"372",2
"373",10
"374",5
"375",7
"376",5
"377",2
"378",3
"379",2
"380",2
"381",7
"382",8
"383",10
"384",4
"385",6
"386",5
"387",5
"388",3
"389",10
"390",3
"391",2
"392",8
"393",3
"394",1
"395",2
"396",4
"397",9
"398",6
"399",5
"400",8
"401",4
"402",10
"403",5
"404",1
"405",3
"406",1
"407",3
"408",4
"409",3
"410",4
"411",9
"412",7
"413",7
"414",3
"415",9
"416",6
"417",8
"418",1
"419",5
"420",4
"421",4
"422",8
"423",2
"424",8
"425",8
"426",10
"427",5
"428",8
"429",6
"430",5
"431",8
"432",8
"433",7
"434",1
"435",6
"436",10
"437",1
"438",3
"439",3
"440",1
"441",5
"442",1
"443",7
"444",7
"445",6
"446",10
"447",1
"448",3
"449",4
"450",8
"451",9
"452",8
"453",7
"454",6
"455",5
"456",6
"457",4
"458",3
"459",10
"460",8
"461",5
"462",6
"463",7
"464",2
"465",9
"466",1
"467",7
"468",5
"469",6
"470",3
"471",2
"472",1
"473",2
"474",10
"475",1
"476",1
"477",3
"478",8
"479",2
"480",9
"481",2
"482",7
"483",1
"484",10
"485",9
"486",1
"487",6
"488",9
"489",5
"490",9
"491",2
"492",1
"493",8
"494",8
"495",4
"496",10
"497",5
"498",6
"499",2
"500",8
"501",6
