"","x"
"1","esophageal cancer"
"2","colon cancer"
"3","kidney cancer"
"4","head and neck cancer"
"5","prostate cancer"
"6","uterus cancer"
"7","brain cancer"
"8","lymphoma"
"9","lung cancer"
"10","hepatocellular carcinoma"
"11","breast cancer"
"12","melanoma"
"13","adrenocortical cancer"
"14","gastric cancer"
"15","ovarian cancer"
"16","pancreatic cancer"
"17","gastrointestinal stromal tumor"
"18","colorectal cancer"
"19","leukemia"
"20","sarcoma"
"21","cervical cancer"
"22","oral cancer"
"23","liver cancer"
"24","small intestinal neuroendocrine tumor"
"25","pheochromocytoma"
"26","mesothelioma"
"27","thyroid cancer"
"28","nasopharyngeal carcinoma"
"29","cholangiocarcinoma"
"30","oropharyngeal cancers"
"31","retinoblastoma"
