"","x"
"1","SPIN4-AS1"
"2","AC073439.1"
"3","CEACAMP2"
"4","FAM228A"
"5","RTP4"
"6","OLIG1"
"7","EIF2S3B"
"8","AC004687.1"
"9","AC010096.1"
"10","ADAM32"
"11","RAB8A"
"12","MTND3P9"
"13","YARS"
"14","AL096701.1"
"15","AC095041.1"
"16","HIST1H2BH"
"17","LINC00028"
"18","AL117692.1"
"19","BTG3"
"20","TBC1D3H"
"21","LINC02082"
"22","AL359643.2"
"23","AC025183.2"
"24","AL121871.1"
"25","PPIAP33"
"26","RNU1-124P"
"27","MYRFL"
"28","AP003170.3"
"29","AKT3"
"30","CD40LG"
"31","TMEM72"
"32","ST13P15"
"33","RNU6-297P"
"34","AL589765.6"
"35","LINC02068"
"36","SLC25A6P2"
"37","AC010153.1"
"38","AC240565.2"
"39","AP004247.1"
"40","NACA4P"
"41","SRSF12"
"42","TRIM51CP"
"43","RNU6-396P"
"44","IGLVIV-64"
"45","AL022323.1"
"46","AC023090.2"
"47","CU104787.1"
"48","AC087623.3"
"49","AC138035.1"
"50","PRYP5"
"51","AC091435.1"
"52","ALS2"
"53","LINC00570"
"54","AC007907.1"
"55","CYP2G1P"
"56","NR1H2"
"57","AC024255.1"
"58","NOS2"
"59","AC097381.2"
"60","AC093423.1"
"61","COL25A1"
"62","LILRA4"
"63","AC146507.1"
"64","SCARNA5"
"65","AC011495.1"
"66","ZNF814"
"67","RNA5SP73"
"68","AC243960.5"
"69","AC010536.1"
"70","MIR3180-1"
"71","AC093520.2"
"72","ADIPOQ"
"73","WFIKKN2"
"74","AC087651.1"
"75","AC011270.2"
"76","LINC01824"
"77","DENND2A"
"78","TMEM30A"
"79","VARS2"
"80","ATG16L1"
"81","DTYMK"
"82","PCDH20"
"83","RNU6-1099P"
"84","AL353742.1"
"85","SHH"
"86","RPS18P1"
"87","RNA5SP71"
"88","RPLP1P6"
"89","RN7SL688P"
"90","RN7SL160P"
"91","STAG3L5P-PVRIG2P-PILRB"
"92","RN7SL689P"
"93","SFTPD-AS1"
"94","RPL23AP73"
"95","BTC"
"96","RPL21P12"
"97","ASB9P1"
"98","MIR513C"
"99","ZNF602P"
"100","PPAN-P2RY11"
"101","HNRNPA1P37"
"102","CTSL"
"103","TMEM130"
"104","FKBP4P8"
"105","KBTBD6"
"106","LINC01971"
"107","TMEM200A"
"108","AP005119.1"
"109","SOS1-IT1"
"110","RN7SL186P"
"111","IDI2-AS1"
"112","AC023090.1"
