"","x"
"1",3
"2",6
"3",9
"4",6
"5",7
"6",5
"7",8
"8",3
"9",8
"10",7
"11",1
"12",5
"13",8
"14",9
"15",10
"16",4
"17",2
"18",1
"19",2
"20",10
"21",8
"22",5
"23",6
"24",10
"25",6
"26",8
"27",7
"28",7
"29",6
"30",2
"31",8
"32",6
"33",2
"34",9
"35",10
"36",10
"37",2
"38",5
"39",2
"40",4
"41",2
"42",3
"43",9
"44",10
"45",4
"46",9
"47",8
"48",10
"49",6
"50",5
"51",3
"52",4
"53",8
"54",1
"55",9
"56",1
"57",6
"58",9
"59",8
"60",7
"61",7
"62",4
"63",8
"64",7
"65",7
"66",3
"67",3
"68",8
"69",5
"70",5
"71",9
"72",8
"73",2
"74",2
"75",4
"76",4
"77",9
"78",8
"79",7
"80",6
"81",8
"82",1
"83",9
"84",2
"85",7
"86",9
"87",9
"88",10
"89",2
"90",1
"91",1
"92",1
"93",4
"94",9
"95",8
"96",9
"97",6
"98",10
"99",10
"100",2
"101",6
"102",10
"103",8
"104",5
"105",6
"106",6
"107",5
"108",1
"109",10
"110",10
"111",2
"112",6
"113",6
"114",6
"115",3
"116",2
"117",8
"118",8
"119",5
"120",5
"121",8
"122",7
"123",7
"124",4
"125",7
"126",10
"127",3
"128",6
"129",1
"130",1
"131",2
"132",5
"133",5
"134",2
"135",9
"136",3
"137",2
"138",7
"139",5
"140",5
"141",8
"142",4
"143",8
"144",4
"145",8
"146",9
"147",8
"148",8
"149",5
"150",1
"151",6
"152",1
"153",7
"154",9
"155",3
"156",6
"157",7
"158",1
"159",7
"160",4
"161",2
"162",8
"163",6
"164",8
"165",1
