"","x"
"1",0.6687
"2",0.6678
"3",0.6888
"4",0.6907
"5",0.6741
"6",0.6698
"7",0.6907
"8",0.6977
"9",0.6977
"10",0.6977
"11",0.6977
"12",0.6763
"13",0.6586
"14",0.6788
"15",0.7048
"16",0.6692
"17",0.6841
"18",0.6895
"19",0.7143
"20",0.7086
"21",0.7044
"22",0.7175
"23",0.6585
"24",0.6586
"25",0.6743
"26",0.6936
"27",0.6654
"28",0.6609
"29",0.6715
"30",0.6773
"31",0.6807
"32",0.7047
"33",0.683
"34",0.6582
"35",0.6677
"36",0.6746
"37",0.6838
"38",0.6687
"39",0.668
"40",0.6741
"41",0.6691
"42",0.6659
"43",0.6781
"44",0.667
"45",0.6601
"46",0.6716
"47",0.6668
"48",0.6742
"49",0.6728
"50",0.6662
"51",0.6742
"52",0.6627
"53",0.6549
"54",0.668
"55",0.6645
"56",0.6556
"57",0.6564
"58",0.6714
"59",0.6822
"60",0.6819
"61",0.6735
"62",0.6532
"63",0.6522
"64",0.6587
"65",0.6572
"66",0.6679
"67",0.6641
"68",0.6668
"69",0.6759
"70",0.6706
"71",0.6656
"72",0.6562
"73",0.6617
"74",0.6507
"75",0.6721
"76",0.6606
"77",0.6603
"78",0.682
"79",0.6646
"80",0.6559
"81",0.6586
"82",0.6516
"83",0.6646
"84",0.6519
"85",0.6531
"86",0.6578
"87",0.6586
"88",0.6543
