"","x"
"1",0.6422
"2",0.6451
"3",0.6562
"4",0.6501
"5",0.638
"6",0.6414
"7",0.6464
"8",0.6339
"9",0.6339
"10",0.6339
"11",0.6339
"12",0.6411
"13",0.6591
"14",0.6467
"15",0.6605
"16",0.6407
"17",0.6504
"18",0.6422
"19",0.6371
"20",0.6383
"21",0.6419
"22",0.6431
"23",0.6344
"24",0.6387
"25",0.6562
"26",0.6636
"27",0.6482
"28",0.6485
"29",0.6407
"30",0.6323
"31",0.6364
"32",0.6407
"33",0.6405
"34",0.6203
"35",0.636
"36",0.6476
"37",0.6551
"38",0.6421
"39",0.6497
"40",0.6376
"41",0.636
"42",0.6414
"43",0.6436
"44",0.6417
"45",0.6368
"46",0.6452
"47",0.647
"48",0.6532
"49",0.6556
"50",0.6511
"51",0.6454
"52",0.6399
"53",0.6401
"54",0.6406
"55",0.6391
"56",0.6279
"57",0.6354
"58",0.6417
"59",0.6473
"60",0.6431
"61",0.653
"62",0.6495
"63",0.6479
"64",0.6429
"65",0.6359
"66",0.6368
"67",0.6337
"68",0.628
"69",0.6424
"70",0.65
"71",0.6318
"72",0.634
"73",0.6302
"74",0.6255
"75",0.6345
"76",0.6256
"77",0.624
"78",0.6486
"79",0.6352
"80",0.635
"81",0.6428
"82",0.6254
"83",0.6307
"84",0.6265
"85",0.6206
"86",0.6319
"87",0.632
"88",0.6327
