"","x"
"1",0.5943
"2",0.5153
"3",0.5482
"4",0.5652
"5",0.564
"6",0.5574
"7",0.5285
"8",0.5508
"9",0.5683
"10",0.5665
"11",0.5531
"12",0.5858
"13",0.5486
"14",0.5668
"15",0.564
"16",0.5602
"17",0.5636
"18",0.5298
"19",0.5579
"20",0.5465
"21",0.5484
"22",0.5547
"23",0.5717
"24",0.5399
"25",0.5516
"26",0.5725
"27",0.5191
"28",0.5459
"29",0.5258
"30",0.5253
"31",0.5584
"32",0.5549
"33",0.5691
"34",0.5686
"35",0.5362
"36",0.5524
"37",0.5533
"38",0.5127
"39",0.543
"40",0.5434
"41",0.5473
"42",0.5322
"43",0.5391
"44",0.5454
"45",0.5372
"46",0.5383
"47",0.5688
"48",0.5632
"49",0.5478
"50",0.5162
"51",0.511
"52",0.518
"53",0.5129
"54",0.5348
"55",0.529
"56",0.5288
"57",0.5492
"58",0.5533
"59",0.5567
"60",0.5067
"61",0.5178
"62",0.5054
"63",0.5143
"64",0.5165
"65",0.5516
"66",0.5582
"67",0.561
"68",0.5776
"69",0.5245
"70",0.5744
"71",0.5464
"72",0.5661
"73",0.5354
"74",0.5405
"75",0.5339
"76",0.5501
"77",0.5546
"78",0.5551
"79",0.5522
"80",0.5709
"81",0.5588
"82",0.5658
"83",0.5852
"84",0.5116
"85",0.5332
"86",0.5303
"87",0.5357
"88",0.5298
"89",0.5632
"90",0.5353
"91",0.5973
"92",0.5719
"93",0.5786
"94",0.567
"95",0.5724
"96",0.5783
"97",0.5614
"98",0.5558
"99",0.5648
"100",0.5401
"101",0.5976
"102",0.57
"103",0.5987
"104",0.598
"105",0.555
"106",0.5656
"107",0.577
"108",0.5682
"109",0.571
"110",0.534
