"","x"
"1",0.6381
"2",0.6431
"3",0.6562
"4",0.645
"5",0.6343
"6",0.6345
"7",0.6464
"8",0.6279
"9",0.6279
"10",0.6279
"11",0.6279
"12",0.6361
"13",0.6583
"14",0.6516
"15",0.6532
"16",0.6387
"17",0.6453
"18",0.6361
"19",0.6377
"20",0.6328
"21",0.64
"22",0.6431
"23",0.6284
"24",0.6375
"25",0.6481
"26",0.6611
"27",0.6423
"28",0.6418
"29",0.6356
"30",0.6326
"31",0.6284
"32",0.6328
"33",0.6382
"34",0.6254
"35",0.6368
"36",0.6476
"37",0.6549
"38",0.6444
"39",0.6431
"40",0.6334
"41",0.6345
"42",0.6301
"43",0.6351
"44",0.6409
"45",0.6276
"46",0.6396
"47",0.6455
"48",0.6489
"49",0.6373
"50",0.6428
"51",0.6418
"52",0.6323
"53",0.6395
"54",0.637
"55",0.6381
"56",0.6344
"57",0.6318
"58",0.6336
"59",0.6368
"60",0.6355
"61",0.646
"62",0.6442
"63",0.6418
"64",0.6406
"65",0.6357
"66",0.633
"67",0.6359
"68",0.6283
"69",0.6424
"70",0.6476
"71",0.6283
"72",0.626
"73",0.6292
"74",0.6253
"75",0.631
"76",0.6256
"77",0.6332
"78",0.6536
"79",0.6352
"80",0.6321
"81",0.641
"82",0.6251
"83",0.6271
"84",0.6251
"85",0.6251
"86",0.6251
"87",0.6251
"88",0.6286
"89",0.6472
"90",0.6624
"91",0.6888
"92",0.6907
"93",0.6741
"94",0.6698
"95",0.6907
"96",0.6977
"97",0.6977
"98",0.6977
"99",0.6977
"100",0.6483
"101",0.658
"102",0.6788
"103",0.7048
"104",0.6465
"105",0.6753
"106",0.6895
"107",0.7121
"108",0.7088
"109",0.7044
"110",0.7175
"111",0.641
"112",0.6459
"113",0.6664
"114",0.6925
"115",0.6477
"116",0.6554
"117",0.6715
"118",0.6676
"119",0.6766
"120",0.7047
"121",0.683
"122",0.6473
"123",0.652
"124",0.6549
"125",0.6817
"126",0.6482
"127",0.6663
"128",0.6539
"129",0.6698
"130",0.6618
"131",0.6819
"132",0.667
"133",0.6601
"134",0.6518
"135",0.6492
"136",0.6743
"137",0.6672
"138",0.6565
"139",0.6518
"140",0.6463
"141",0.644
"142",0.6606
"143",0.6531
"144",0.6472
"145",0.6378
"146",0.647
"147",0.6537
"148",0.6644
"149",0.6577
"150",0.6615
"151",0.6489
"152",0.6537
"153",0.6456
"154",0.6402
"155",0.6422
"156",0.6376
"157",0.6583
"158",0.6657
"159",0.6439
"160",0.6424
"161",0.6372
"162",0.6375
"163",0.6378
"164",0.6606
"165",0.6481
"166",0.6668
"167",0.6425
"168",0.6596
"169",0.642
"170",0.6383
"171",0.6498
"172",0.6457
"173",0.6046
"174",0.6269
"175",0.6392
"176",0.6301
"177",0.6418
"178",0.6587
"179",0.6854
"180",0.6953
"181",0.6911
"182",0.667
"183",0.6912
"184",0.6995
"185",0.6995
"186",0.6995
"187",0.6995
"188",0.664
"189",0.6476
"190",0.6727
"191",0.7103
"192",0.666
"193",0.6826
"194",0.701
"195",0.7198
"196",0.7103
"197",0.7008
"198",0.725
"199",0.6389
"200",0.6427
"201",0.6661
"202",0.6932
"203",0.6545
"204",0.6591
"205",0.6777
"206",0.6725
"207",0.6765
"208",0.7148
"209",0.6941
"210",0.654
"211",0.654
"212",0.6596
"213",0.6807
"214",0.6427
"215",0.6686
"216",0.6502
"217",0.6697
"218",0.6592
"219",0.6865
"220",0.6771
"221",0.66
"222",0.663
"223",0.6446
"224",0.6777
"225",0.6742
"226",0.6678
"227",0.6766
"228",0.6391
"229",0.6519
"230",0.6819
"231",0.673
"232",0.6484
"233",0.6409
"234",0.6483
"235",0.662
"236",0.6706
"237",0.6613
"238",0.6714
"239",0.6533
"240",0.6527
"241",0.659
"242",0.6655
"243",0.6351
"244",0.6282
"245",0.6633
"246",0.6666
"247",0.6497
"248",0.6427
"249",0.649
"250",0.644
"251",0.6449
"252",0.6689
"253",0.6537
"254",0.6547
"255",0.6402
"256",0.6636
"257",0.6563
"258",0.6476
"259",0.6556
"260",0.6392
"261",0.6062
"262",0.6031
"263",0.6399
"264",0.6257
