"","x"
"1","AL157788.1"
"2","AC025627.3"
"3","RAB20"
"4","VN1R36P"
"5","TESC"
"6","AL050349.1"
"7","SEMA3B"
"8","OR14A16"
"9","SMCO1"
"10","ATP5MC1P1"
"11","AC092651.2"
"12","AL162424.1"
"13","MIR4420"
"14","RF00418"
"15","SRMS"
"16","VN1R8P"
"17","AC146944.3"
"18","ADCY5"
"19","FTLP15"
"20","TPM1"
"21","LINC01241"
"22","RPS4XP17"
"23","EIF4A1P3"
"24","AC015818.1"
"25","ATP6V1FNB"
"26","TSC1"
"27","LINC02428"
"28","AC023051.1"
"29","GNB5"
"30","AP002884.3"
"31","SLC9A1"
"32","EXO1"
"33","AC010980.2"
"34","AC113414.1"
"35","LINC00112"
"36","COMTD1"
"37","RNU6-1211P"
"38","IFNL2"
"39","CU634019.1"
"40","PRMT6"
"41","AL354719.1"
"42","CHCHD2P2"
"43","RNU6ATAC41P"
"44","RNA5SP201"
"45","AL049648.1"
"46","AQP12B"
"47","ATF1P1"
"48","SMC5-AS1"
"49","BOLA1"
"50","RNU6-949P"
"51","AC091062.1"
"52","RPS2P36"
"53","KANSL1"
"54","RPL11P4"
"55","AL596276.2"
"56","MXRA5"
"57","RN7SL690P"
"58","GLI3"
"59","OR7E8P"
"60","THEM5"
"61","AKAP14"
"62","CAPN6"
"63","AC135012.1"
"64","ERBIN"
"65","NUS1P1"
"66","AC103808.4"
"67","AL354893.2"
"68","AL591424.3"
"69","AF127577.4"
"70","OTUD6A"
"71","AC010300.1"
"72","RPL13P"
"73","MACROD2-AS1"
"74","AL359075.1"
"75","UBE2CP3"
"76","CIAPIN1"
"77","TMEM255A"
"78","PLIN5"
"79","AC008427.1"
"80","SCML1"
"81","AL138831.3"
"82","OPA1"
"83","TDRD6"
"84","GNPTAB"
"85","DDX59"
"86","RPL9P5"
"87","AC079411.1"
"88","ZFYVE26"
"89","HLCS"
"90","AC087500.2"
"91","TPM3P1"
"92","RHOT1P1"
"93","SDAD1P4"
"94","AC012103.1"
"95","C1QTNF8"
"96","RPL9P29"
"97","FAM174A"
"98","FGF8"
"99","IL9RP2"
"100","AC061965.1"
"101","KLK10"
"102","SOX5-AS1"
"103","AC139491.4"
"104","MTCO1P23"
"105","RNU6-272P"
"106","ZNF473"
"107","FAM90A2P"
"108","RNU2-47P"
"109","BX088651.3"
"110","ANKH"
"111","ULK2"
"112","AC010547.4"
"113","PLIN2"
"114","SMIM4"
"115","RN7SL379P"
"116","TNIP1"
"117","AC107952.1"
"118","TRIM41"
"119","AC040926.1"
"120","RAB3B"
"121","AC117409.1"
"122","TMEM246-AS1"
"123","SHISAL1"
"124","NDUFA6-DT"
"125","GSEC"
"126","MAD2L1BP"
"127","AC005912.1"
"128","TIFA"
"129","RALBP1"
"130","OSGIN2"
"131","C1QTNF7"
"132","RNY4P25"
"133","MIR877"
"134","LINC01301"
"135","ADAM24P"
"136","AL137779.1"
"137","RNU2-21P"
"138","RELL1"
"139","AC026904.3"
"140","FAM107A"
"141","AP004147.1"
"142","ELL2P3"
"143","MED25"
"144","AL078587.1"
"145","AL590235.1"
"146","LINC00900"
"147","ZNF365"
"148","RPS27AP10"
"149","AC007256.1"
"150","AC092072.1"
"151","IGLV3-7"
"152","MIR3196"
"153","FAM41AY1"
"154","SMTNL1"
"155","AC135279.1"
"156","AL157402.2"
"157","AC113608.2"
"158","AC074117.1"
"159","TMEM121"
"160","AC015853.3"
"161","ANKS1A"
"162","EIF4A1P12"
"163","C2orf69P1"
"164","AL031313.1"
"165","NICN1"
"166","AL078601.1"
"167","HIGD1A"
"168","RSF1"
"169","AC131238.1"
"170","SNORD116-1"
"171","RNU6-1062P"
"172","TMOD1"
"173","RPL7AP72"
"174","AL050403.2"
"175","RF00136"
"176","MSRB1"
"177","STSP1"
"178","AL139383.1"
"179","OR2L5"
"180","MIR8087"
"181","PKN3"
"182","AL078604.3"
"183","DGKK"
"184","IGHJ6"
"185","AC105429.2"
"186","FP565260.6"
"187","SNORD3B-1"
"188","EIF3I"
"189","EFL1"
"190","PSG8"
"191","C5orf17"
"192","CES1P2"
"193","AC007546.1"
"194","MSANTD2P1"
"195","AC068135.2"
"196","AC023157.2"
"197","MAGED1"
"198","AC104332.1"
"199","AC124944.2"
"200","ANKRD40"
"201","AL162171.1"
"202","AL713999.1"
"203","CCDC13-AS1"
"204","RPL35P4"
"205","AC005962.1"
"206","OR13D1"
"207","LINC01626"
"208","MMP12"
"209","AC125421.1"
"210","NDUFAF4P4"
"211","SNX27"
"212","HTRA2"
"213","COX6CP15"
"214","HIGD1AP13"
"215","AC108467.1"
"216","AL355310.3"
"217","GAPDHP42"
"218","DNAI1"
"219","NOTO"
"220","AC018634.1"
"221","CINP"
"222","MTCO1P44"
"223","MYL6P3"
"224","AC092801.1"
"225","GINS1"
"226","AC140658.5"
"227","ATXN7L1"
"228","MTCO1P22"
"229","AL162724.1"
"230","Z75741.1"
"231","ANKRD36"
"232","RNU6-1"
"233","CLN8"
"234","AC010907.2"
"235","SLC35F2"
"236","EIF4ENIF1"
"237","DIMT1P1"
"238","LINC01992"
"239","OLFML2B"
"240","SNRPGP2"
"241","RANBP3"
"242","UBE2E1-AS1"
"243","AC004840.2"
"244","IER5L"
"245","AC103563.8"
"246","GABRA4"
"247","MIR668"
"248","PCDH11Y"
"249","AC114489.1"
"250","AC093787.1"
"251","AC092902.1"
"252","MRPL57"
"253","HOXB5"
"254","RNU6-1256P"
"255","ITGAL"
"256","AC073316.3"
"257","AL162412.1"
"258","RGR"
"259","MTND4P35"
"260","OPCML-IT1"
"261","AL645820.1"
"262","OR1N1"
"263","LRRTM1"
"264","POFUT1"
"265","HIST1H1PS2"
"266","PLA2G5"
"267","UNGP3"
"268","AC072046.1"
"269","TAF4B"
"270","PCDHA1"
"271","SLC5A9"
"272","PPY2P"
"273","SLC17A5"
"274","TRIM36"
"275","ATP6AP2"
"276","AC098679.1"
"277","SSU72"
"278","SLC28A2"
"279","HNRNPA3P13"
"280","LINC02325"
"281","TMEM18"
"282","ZNF788P"
"283","ZDHHC9"
"284","AC006435.4"
"285","ASZ1"
"286","AC120024.4"
"287","AC107083.1"
"288","ZNF446"
"289","SERTAD2"
"290","AC107375.1"
"291","RGMB-AS1"
"292","IBSP"
"293","AP001094.2"
"294","AC123912.4"
"295","RPL3P7"
"296","GDF3"
"297","AL589987.2"
"298","OR13E1P"
"299","NBEAL1"
"300","PRDM7"
"301","BRIX1"
"302","AC104758.1"
"303","DIAPH3-AS1"
"304","CHST12"
"305","CYCSP12"
"306","DEPDC1B"
"307","SHMT1P1"
"308","CSPG4P2Y"
"309","Z84723.1"
"310","NIM1K"
"311","AL138789.1"
"312","HFM1"
"313","AC096743.1"
"314","STC2"
"315","AC244097.1"
"316","AC027130.1"
"317","RN7SKP142"
"318","MIR499A"
"319","AL078596.1"
"320","MFSD6"
"321","EIF4A1"
"322","EEF1A1P33"
"323","TUBB8P8"
"324","AC117500.4"
"325","HMGN1P2"
"326","AC004847.1"
"327","RPS17P5"
"328","RNF6"
"329","AC068733.2"
"330","SCNM1"
"331","SSX1"
"332","PHLDA3"
"333","APOA1"
"334","APLN"
"335","SLCO1B1"
"336","LINC01233"
"337","GFPT2"
"338","PPP1R12B"
"339","AC020663.3"
"340","CLCN1"
"341","HNRNPDLP3"
"342","AP005131.1"
"343","EFR3A"
"344","AC099677.2"
"345","AC114291.1"
"346","AL121989.1"
"347","RNF139-AS1"
"348","OTULINL"
"349","IGKV1OR2-2"
"350","LENG1"
"351","AC122688.3"
