"","x"
"1","CHRNB4"
"2","OR2AP1"
"3","AC018618.2"
"4","AC026254.1"
"5","DDX3P2"
"6","CCT8P1"
"7","ACTR2"
"8","MGAT4D"
"9","AC090625.2"
"10","AL513188.1"
"11","CCNQP2"
"12","HNRNPA1P49"
"13","AL022323.2"
"14","AC104852.1"
"15","RPL23AP66"
"16","LINC02517"
"17","LINC01309"
"18","LINC02085"
"19","LINC02233"
"20","AC002059.2"
"21","AC105227.2"
"22","NF1P9"
"23","AP003174.1"
"24","ST13P12"
"25","LINC01675"
"26","CDA"
"27","KRT1"
"28","ZDHHC11"
"29","CNRIP1"
"30","SNORA31"
"31","AL136309.1"
"32","YWHABP2"
"33","RNU1-130P"
"34","AASDHPPT"
"35","MIR6784"
"36","AL133373.2"
"37","AP001269.1"
"38","MIR4708"
"39","RF00134"
"40","AC087477.6"
"41","MIR548H4"
"42","AC008494.3"
"43","SPATA31A7"
"44","HAGH"
"45","FLNC"
"46","DNAJB4"
"47","SNORD115-19"
"48","RNA5S9"
"49","AP001120.3"
"50","HNRNPFP1"
"51","AL591178.1"
"52","WDR1"
"53","CDC27P1"
"54","AL513314.2"
"55","BX510359.3"
"56","CSNK1E"
"57","AC007327.2"
"58","AC092474.1"
"59","KRT18P13"
"60","HNRNPR"
"61","EIF4A1P10"
"62","LYPLA1P2"
"63","RNU6-1175P"
"64","CBR4"
"65","TNFSF8"
"66","BTBD10P2"
"67","RNA5SP126"
"68","HSH2D"
"69","FCN1"
"70","AP004609.1"
"71","AC092301.1"
"72","MIR196A1"
"73","AL096861.1"
"74","AC092916.1"
"75","AC007950.1"
"76","SNRPCP6"
"77","AL590385.1"
"78","KCNV2"
"79","AC106774.1"
"80","MIR3180-2"
"81","LINC00513"
"82","MIR6835"
"83","HGF"
"84","MIR139"
"85","RNY1P12"
"86","AP003351.1"
"87","CRYBB2"
"88","RPL23AP8"
"89","SLC6A7"
"90","UGGT1"
"91","AC137630.3"
"92","TEX14"
"93","AL512303.1"
"94","IGKV2-26"
"95","SNORD71"
"96","PKHD1"
"97","TMED5"
"98","SCARNA21"
"99","DDX24"
"100","SSX5"
"101","AL603650.1"
"102","GABRG1"
"103","AC009245.1"
"104","AL589745.2"
"105","AC008267.5"
"106","PSPC1P2"
"107","VDAC1P9"
"108","AC011978.1"
"109","HSPB11"
"110","AL356356.1"
"111","HLA-DQB1"
"112","IGF2BP3"
"113","USP17L27"
"114","AC079416.2"
"115","CASC4"
"116","CASR"
"117","ADGRL3-AS1"
"118","AC020658.7"
"119","SNORD3D"
"120","OR2T6"
"121","AP003718.1"
"122","IGLV3-12"
"123","AL355773.1"
"124","RGS3"
"125","RPS24P12"
"126","DARS2"
"127","RNU7-169P"
"128","AC125257.1"
"129","RN7SL388P"
"130","CACNA1H"
"131","AC239367.1"
"132","FBXO24"
"133","AKIRIN1P2"
"134","CSNK2A1"
"135","AC009237.7"
"136","AC087072.1"
"137","LINC00570"
"138","AC016956.1"
"139","DMC1"
"140","AC092447.10"
"141","CCDC159"
"142","AP005205.3"
"143","CBX5"
"144","RNU6-574P"
"145","Z99127.2"
"146","MBD3L2B"
"147","AC025678.2"
"148","LINC01914"
"149","OR51D1"
"150","HDGFL2"
"151","SHISA5"
"152","SNORA77B"
"153","ITPKB-AS1"
"154","MX1"
"155","ATPAF1"
"156","ID2"
"157","SASH3"
"158","POLE4"
"159","AC121334.2"
"160","MTND3P9"
"161","NFE2L3P1"
"162","AC140912.1"
"163","RF02161"
"164","PCMTD1P2"
"165","AL356421.1"
"166","AC027281.2"
"167","AC104333.2"
"168","ALG10B"
"169","AC096677.2"
"170","UBTD2"
"171","SIGLEC1"
"172","AC005592.1"
"173","AC067960.1"
"174","AL356575.1"
"175","RN7SL854P"
"176","XPO7"
"177","SMG6"
"178","AC004692.2"
"179","KRT18P39"
"180","GRID2"
"181","ARHGAP5-AS1"
"182","ZNF812P"
"183","AL391095.3"
"184","ZNF665"
"185","UPF3A"
"186","RRS1-AS1"
"187","HSF4"
"188","DRC3"
"189","GUSBP1"
"190","AC018410.1"
"191","RF00570"
"192","FOXO1B"
"193","CALB1"
"194","FAM167A"
"195","AC019129.2"
"196","TTTY11"
"197","MIR449B"
"198","RF00137"
"199","BMI1P1"
"200","H2AFY2"
"201","RNA5SP18"
"202","ARSDP1"
"203","AC027018.1"
"204","LIN54"
"205","TMEM38B"
"206","IER3"
"207","CHMP1AP1"
"208","AL589743.6"
"209","AC022441.3"
"210","UCP1"
"211","ZNF28"
"212","BRAFP1"
"213","RNASE7"
"214","LINC00348"
"215","SELENOO"
"216","RDH10"
"217","AC132825.4"
"218","RNA5SP217"
"219","AC110602.1"
"220","AL034345.1"
"221","ARHGEF33"
"222","COX18"
"223","RNU6-758P"
"224","SYCP3"
"225","AC009137.1"
"226","AL034418.1"
"227","DGCR11"
"228","CHCHD2P2"
"229","LDHAP4"
"230","RPL26P29"
"231","AF279873.1"
"232","AL359636.2"
"233","AL139123.1"
"234","AC135782.1"
"235","AL353747.2"
"236","MLXIPL"
"237","LGALS9DP"
"238","CNOT8"
"239","LINC00555"
"240","FCRLB"
"241","AC092580.3"
"242","RNA5SP131"
"243","MTND1P14"
"244","SHISA6"
"245","EIF4A1"
"246","AC106864.1"
"247","LRRC8A"
"248","AC092669.1"
"249","COX6B1P7"
"250","SULF2"
"251","ARCN1"
"252","AMD1P2"
"253","PIM1"
"254","ATP13A4"
"255","RPS26P30"
"256","PCDHA14"
"257","NOC2L"
