,combo_used,c_index
1,1000_10,0.7485
2,1000_110,0.7684
3,1000_210,0.7792
4,1000_310,0.7619
5,1000_410,0.7686
6,1000_510,0.7711
7,1000_610,0.8275
8,1000_710,0.7878
9,1000_810,0.7939
10,1000_910,0.7737
11,1000_1010,0.7912
12,900_10,0.782
13,900_110,0.7625
14,900_210,0.7614
15,900_310,0.7638
16,900_410,0.7677
17,900_510,0.7939
18,900_610,0.8313
19,900_710,0.7816
20,900_810,0.7807
21,900_910,0.7761
22,900_1010,0.7981
23,800_10,0.7446
24,800_110,0.7742
25,800_210,0.7582
26,800_310,0.7662
27,800_410,0.7686
28,800_510,0.7975
29,800_610,0.8441
30,800_710,0.7794
31,800_810,0.8026
32,800_910,0.8002
33,800_1010,0.7955
34,700_10,0.7811
35,700_110,0.7502
36,700_210,0.7591
37,700_310,0.7593
38,700_410,0.7662
39,700_510,0.7566
40,700_610,0.7581
41,700_710,0.7683
42,700_810,0.7794
43,700_910,0.7587
44,700_1010,0.785
45,600_10,0.7446
46,600_110,0.7732
47,600_210,0.7689
48,600_310,0.7593
49,600_410,0.7662
50,600_510,0.7566
51,600_610,0.7642
52,600_710,0.7729
53,600_810,0.7743
54,600_910,0.7681
55,600_1010,0.7866
56,500_10,0.7822
57,500_110,0.7753
58,500_210,0.7689
59,500_310,0.7521
60,500_410,0.797
61,500_510,0.7742
62,500_610,0.7519
63,500_710,0.8069
64,500_810,0.7795
65,500_910,0.7899
66,500_1010,0.7887
67,400_10,0.7937
68,400_110,0.7819
69,400_210,0.7572
70,400_310,0.8283
71,400_410,0.8283
72,400_510,0.816
73,400_610,0.7692
74,400_710,0.8154
75,400_810,0.7545
76,400_910,0.7691
77,400_1010,0.788
78,300_10,0.7446
79,300_110,0.7893
80,300_210,0.772
81,300_310,0.8442
82,300_410,0.7771
83,300_510,0.789
84,300_610,0.7747
85,300_710,0.8317
86,300_810,0.7844
87,300_910,0.7701
88,300_1010,0.7928
89,200_10,0.7446
90,200_110,0.7566
91,200_210,0.7719
92,200_310,0.7516
93,200_410,0.7699
94,200_510,0.7472
95,200_610,0.7561
96,200_710,0.7467
97,200_810,0.774
98,200_910,0.7862
99,200_1010,0.7852
100,100_10,0.7446
101,100_110,0.7642
102,100_210,0.7632
103,100_310,0.765
104,100_410,0.756
105,100_510,0.8155
106,100_610,0.7804
107,100_710,0.7709
108,100_810,0.7655
109,100_910,0.7698
110,100_1010,0.7743
