"","Gene","Annotation"
"1","SERPINF1","M"
"2","CAV1","M"
"3","MSN","M"
"4","GLYR1","M"
"5","C1S","M"
"6","ANK2","M"
"7","FN1","M"
"8","SPARC","M"
"9","CDH11","M"
"10","AKT3","M"
"11","FSTL1","M"
"12","SDC2","M"
"13","AP1S2","M"
"14","ETV1","M"
"15","PCOLCE","M"
"16","NUAK1","M"
"17","MRC1","M"
"18","ZCCHC24","M"
"19","TAGLN","M"
"20","SH2B3","M"
"21","QKI","M"
"22","CEP170","M"
"23","TPM2","M"
"24","HEG1","M"
"25","GZMK","M"
"26","DCN","M"
"27","TCF4","M"
"28","SYNE1","M"
"29","CCL2","M"
"30","BGN","M"
"31","FHL1","M"
"32","ISLR","M"
"33","GEM","M"
"34","CLIC4","M"
"35","GIMAP6","M"
"36","MAF","M"
"37","ITM2A","M"
"38","FAP","M"
"39","DDR2","M"
"40","TUBB6","M"
"41","JAM3","M"
"42","SOAT1","M"
"43","SPARCL1","M"
"44","WIPF1","M"
"45","PTGIS","M"
"46","MS4A4A","M"
"47","GREM1","M"
"48","CRYAB","M"
"49","GPM6B","M"
"50","VIM","M"
"51","PDGFC","M"
"52","CALD1","M"
"53","ANGPTL2","M"
"54","IGFBP5","M"
"55","COL14A1","M"
"56","VCAN","M"
"57","SRGN","M"
"58","MMP2","M"
"59","MAFB","M"
"60","COL6A2","M"
"61","IGF1","M"
"62","DENND5A","M"
"63","TMEM158","M"
"64","RGS2","M"
"65","CLEC2B","M"
"66","FLI1","M"
"67","SERPINE1","M"
"68","GIMAP4","M"
"69","FBLN1","M"
"70","TGFB1I1","M"
"71","MS4A6A","M"
"72","SYT11","M"
"73","TUBA1A","M"
"74","FERMT2","M"
"75","FAM216A","M"
"76","FGL2","M"
"77","PDZRN3","M"
"78","FYN","M"
"79","RARRES2","M"
"80","PTPRC","M"
