"","x"
"1",0.6687
"2",0.6541
"3",0.6888
"4",0.6907
"5",0.6741
"6",0.6698
"7",0.6907
"8",0.6977
"9",0.6977
"10",0.6977
"11",0.6977
"12",0.6632
"13",0.658
"14",0.6596
"15",0.7048
"16",0.6465
"17",0.6841
"18",0.6895
"19",0.7121
"20",0.7049
"21",0.7044
"22",0.7175
"23",0.6525
"24",0.6586
"25",0.6645
"26",0.6767
"27",0.6417
"28",0.6554
"29",0.6715
"30",0.6773
"31",0.6807
"32",0.7047
"33",0.683
"34",0.6446
"35",0.6599
"36",0.6607
"37",0.6714
"38",0.6482
"39",0.668
"40",0.6581
"41",0.6691
"42",0.6642
"43",0.6751
"44",0.667
"45",0.6601
"46",0.6584
"47",0.6475
"48",0.6693
"49",0.6511
"50",0.622
"51",0.6584
"52",0.6463
"53",0.6411
"54",0.668
"55",0.6509
"56",0.6485
"57",0.6477
"58",0.647
"59",0.6685
"60",0.6574
"61",0.6316
"62",0.6361
"63",0.6522
"64",0.6537
"65",0.6456
"66",0.6402
"67",0.6641
"68",0.6237
"69",0.6575
"70",0.6461
"71",0.6287
"72",0.6235
"73",0.6193
"74",0.6497
"75",0.6721
"76",0.6606
"77",0.6481
"78",0.6605
"79",0.6399
"80",0.6469
"81",0.6517
"82",0.6281
"83",0.6402
"84",0.6293
"85",0.6308
"86",0.6441
"87",0.6526
"88",0.6254
