"","x"
"1",0.687
"2",0.6546
"3",0.6546
"4",0.6546
"5",0.6701
"6",0.6688
"7",0.6926
"8",0.6546
"9",0.6546
"10",0.6546
"11",0.6616
"12",0.6621
"13",0.6546
"14",0.6546
"15",0.6546
"16",0.6546
"17",0.6697
"18",0.6943
"19",0.6546
"20",0.6546
"21",0.6546
"22",0.6616
"23",0.6549
"24",0.6546
"25",0.6546
"26",0.6546
"27",0.6546
"28",0.6682
"29",0.7013
"30",0.6546
"31",0.6546
"32",0.6616
"33",0.6616
"34",0.6549
"35",0.6546
"36",0.6546
"37",0.6546
"38",0.6546
"39",0.6546
"40",0.6737
"41",0.6546
"42",0.6546
"43",0.6546
"44",0.6599
"45",0.6546
"46",0.6546
"47",0.6546
"48",0.6546
"49",0.6546
"50",0.6624
"51",0.6671
"52",0.6767
"53",0.6729
"54",0.6546
"55",0.6546
"56",0.6546
"57",0.6546
"58",0.6546
"59",0.6546
"60",0.6546
"61",0.6546
"62",0.6546
"63",0.6546
"64",0.6546
"65",0.6546
"66",0.6546
"67",0.6546
"68",0.6546
"69",0.6546
"70",0.6546
"71",0.6546
"72",0.6546
"73",0.6546
"74",0.6546
"75",0.6546
"76",0.6546
"77",0.6546
"78",0.6546
"79",0.6546
"80",0.6546
"81",0.6546
"82",0.6546
"83",0.6546
"84",0.6546
"85",0.6546
"86",0.6546
"87",0.6546
"88",0.6546
"89",0.6546
"90",0.6661
"91",0.6546
"92",0.6617
"93",0.6546
"94",0.6546
"95",0.6546
"96",0.6546
"97",0.6609
"98",0.6573
"99",0.699
"100",0.6546
"101",0.6752
"102",0.6546
"103",0.6738
"104",0.6546
"105",0.6546
"106",0.7514
"107",0.7311
"108",0.6922
"109",0.6781
"110",0.6714
