"","x"
"1",0.6381
"2",0.6451
"3",0.6562
"4",0.6451
"5",0.6378
"6",0.6384
"7",0.6464
"8",0.6213
"9",0.6213
"10",0.6213
"11",0.6213
"12",0.624
"13",0.6564
"14",0.6384
"15",0.6521
"16",0.6298
"17",0.6339
"18",0.6335
"19",0.63
"20",0.6322
"21",0.6387
"22",0.6431
"23",0.6195
"24",0.6375
"25",0.6404
"26",0.6398
"27",0.6298
"28",0.6292
"29",0.6234
"30",0.6188
"31",0.6142
"32",0.6222
"33",0.6263
"34",0.6127
"35",0.636
"36",0.6476
"37",0.6549
"38",0.6305
"39",0.6298
"40",0.6312
"41",0.6175
"42",0.6122
"43",0.6222
"44",0.621
"45",0.6236
"46",0.6303
"47",0.6375
"48",0.6397
"49",0.6339
"50",0.6304
"51",0.6257
"52",0.6263
"53",0.6227
"54",0.64
"55",0.6331
"56",0.6251
"57",0.6242
"58",0.6202
"59",0.6316
"60",0.6317
"61",0.6443
"62",0.6253
"63",0.617
"64",0.619
"65",0.6246
"66",0.6222
"67",0.6279
"68",0.6107
"69",0.6344
"70",0.6472
"71",0.6318
"72",0.6335
"73",0.6209
"74",0.6167
"75",0.6287
"76",0.6256
"77",0.6178
"78",0.6298
"79",0.6283
"80",0.6175
"81",0.6144
"82",0.6145
"83",0.6208
"84",0.6214
"85",0.6137
"86",0.6135
"87",0.6189
"88",0.6139
