"","x"
"1",0.6858
"2",0.6389
"3",0.6297
"4",0.6313
"5",0.691
"6",0.6805
"7",0.6929
"8",0.6297
"9",0.6297
"10",0.6297
"11",0.6787
"12",0.6412
"13",0.6987
"14",0.6297
"15",0.6313
"16",0.6836
"17",0.6933
"18",0.7018
"19",0.6297
"20",0.6297
"21",0.6297
"22",0.6787
"23",0.6297
"24",0.6831
"25",0.6297
"26",0.6313
"27",0.6959
"28",0.6999
"29",0.7039
"30",0.6297
"31",0.6297
"32",0.6787
"33",0.6787
"34",0.6373
"35",0.6297
"36",0.6297
"37",0.6377
"38",0.6496
"39",0.6499
"40",0.6524
"41",0.6297
"42",0.6297
"43",0.6297
"44",0.6787
"45",0.6297
"46",0.6746
"47",0.6297
"48",0.6417
"49",0.6718
"50",0.6453
"51",0.6573
"52",0.6586
"53",0.665
"54",0.6543
"55",0.6297
"56",0.6297
"57",0.6297
"58",0.6297
"59",0.6313
"60",0.6297
"61",0.6297
"62",0.6347
"63",0.6297
"64",0.6297
"65",0.6297
"66",0.6297
"67",0.6297
"68",0.6297
"69",0.6297
"70",0.6313
"71",0.6348
"72",0.6297
"73",0.6297
"74",0.6297
"75",0.647
"76",0.6693
"77",0.6297
"78",0.6297
"79",0.6297
"80",0.6297
"81",0.6439
"82",0.6297
"83",0.6297
"84",0.6297
"85",0.6297
"86",0.6322
"87",0.7005
"88",0.6417
"89",0.6297
"90",0.6661
"91",0.7322
"92",0.6665
"93",0.6623
"94",0.6297
"95",0.6399
"96",0.649
"97",0.6771
"98",0.6812
"99",0.7008
"100",0.6399
"101",0.6971
"102",0.6526
"103",0.6832
"104",0.6599
"105",0.6297
"106",0.7635
"107",0.7303
"108",0.7228
"109",0.6869
"110",0.6862
