"","x"
"1",0.6841
"2",0.6668
"3",0.686
"4",0.6953
"5",0.6911
"6",0.6694
"7",0.6912
"8",0.6995
"9",0.6995
"10",0.6995
"11",0.6995
"12",0.6827
"13",0.6646
"14",0.6735
"15",0.7103
"16",0.6724
"17",0.6881
"18",0.701
"19",0.7212
"20",0.7099
"21",0.7008
"22",0.725
"23",0.6632
"24",0.6625
"25",0.6775
"26",0.7004
"27",0.6721
"28",0.6704
"29",0.6777
"30",0.6802
"31",0.6869
"32",0.7148
"33",0.6941
"34",0.6566
"35",0.6821
"36",0.6743
"37",0.6825
"38",0.6755
"39",0.6766
"40",0.6905
"41",0.6735
"42",0.6706
"43",0.6845
"44",0.6771
"45",0.665
"46",0.6682
"47",0.6672
"48",0.6878
"49",0.6807
"50",0.6696
"51",0.6886
"52",0.6675
"53",0.6561
"54",0.6819
"55",0.6907
"56",0.6545
"57",0.6565
"58",0.6845
"59",0.6914
"60",0.6854
"61",0.6769
"62",0.6694
"63",0.6632
"64",0.6633
"65",0.6641
"66",0.6691
"67",0.6654
"68",0.6618
"69",0.6701
"70",0.6783
"71",0.6674
"72",0.6604
"73",0.6607
"74",0.6584
"75",0.684
"76",0.6755
"77",0.6623
"78",0.6716
"79",0.6637
"80",0.6636
"81",0.6765
"82",0.6627
"83",0.6713
"84",0.6809
"85",0.6632
"86",0.6769
"87",0.6787
"88",0.663
